"","Bd","Bl","Br","Bu","Db","Df","Dl","Dr","Fd","Fl","Fr","Fu","Lb","Ld","Lf","Lu","Rb","Rd","Rf","Ru","Ub","Ul","Ur",
"Fu","[F U': U' m U, r]","[U: l, U m' U']","[U': r', U' m' U]","[F: m, U' r U]","[D' U': r2, U' m' U]","[U' 3Rw: U r' U', m']","[U: l2, U m' U']","[U': r2, U' m' U]","","","","","[F': l' U l, e]","[L2 U': m' U' m, u']","[F: r U' r', e]","[U': m' U' m, u']","[R' U: m' U m, u]","[R2 U: m' U m, u]","[R U: m' U m, u]","[U: m' U m, u]","[U' Rw U: m', U r' U']","[U2 Rw: U r' U', m']","[U' 3Rw: U r' U', m]",
"Lb","[U' 3Lw: m u' m', U']","[Lw: U', m' u m]","[e', r' U' r]","[e': m, U' r' U]","[D' r': e', r' U' r]","[D r': e', r' U' r]","[l': e, l' U l]","[r': e', r' U' r]","[eu': m', U l' U']","[e, l' U l]","[Rw: r e' r', U']","[F': e, l' U l]","","","","","[R d'e': m', U' r' U]","[d'e': m', U' r' U]","[e': r' U' r, e2]","[eu': m, U l' U']","[U: r e' r', U2]","[U': U', r e' r']","[r e' r', U']",
"Ld","[U': d', m U' m']","[Dw: U l U', m']","[Rw': U, m d m']","[Lw': m, 3Uw' r 3Uw]","[Dw l': U l' U', m']","[Dw Rw: U' r U, m']","[d l': U l' U', m']","[d Rw: U' r U, m']","[3Lw': 3Uw l 3Uw', m]","[Dw: U l' U', m']","[Dw: U' r U, m']","[L2 Uw': m' U' m, u]","","","","","[de: U l U', m']","[U d: m' U' m, d2]","[L e': r' U' r, e2]","[R de: U l U', m']","[U2, m d m']","[U', m d m']","[U, m d m']",
"Lf","[3Uw': 3Uw' m 3Uw, r]","[e', l U l']","[Rw': r' e r, U']","[m, 3Uw' r 3Uw]","[m2, 3Uw' r 3Uw]","[3Uw': 3Uw' m2 3Uw, r]","[l: e', l U l']","[r: e, r U' r']","[m', 3Uw l 3Uw']","[Lw': U', m' u m]","[e, r U' r']","[F: e, r U' r']","","","","","[e: r U' r', e2]","[R' e: r U' r', e2]","[R eu': m, U' r U]","[eu': m, U' r U]","[U: r' e r, U2]","[U': U', r' e r]","[r' e r, U']",
"Lu","[U m: m u' m', U]","[Uw: l, U' m U]","[Uw': r', U' m' U]","[3Lw: 3Uw' r 3Uw, m']","[U m: u, m U' m']","[U m': u', m' U m]","[u l: U l U', m]","[u Rw': U' r' U, m]","[Lw: m', 3Uw l 3Uw']","[l': U', m' u m]","[Rw: U, m' u m]","[Uw': m' U' m, u]","","","","","[ue': U' r U, m]","[R 3Uw: l', U' m U]","[3Uw: l', U' m U]","[R ue': U' r U, m]","[U2, m' u m]","[U', m' u m]","[U, m' u m]",
"Rb","[U 3Rw': m u m', U]","[e, l U l']","[Rw': U, m' u' m]","[e': m, U' r U]","[D' r: e', r U' r']","[D r: e', r U' r']","[l: e, l U l']","[r: e', r U' r']","[ue': m', U' r U]","[F2: e', r U' r']","[e', r U' r']","[R' Uw: m' U m, u']","[R d'e': U' r' U, m']","[de: m', U l U']","[e': r U' r', e2]","[ue': m, U' r U]","","","","","[U: r' e' r, U2]","[U': U', r' e' r]","[r' e' r, U']",
"Rd","[U: d, m U m']","[Dw': U l U', m']","[Dw': U' r' U, m']","[Rw: m, 3Uw' r' 3Uw]","[Dw' Rw: U' r U, m']","[Dw' l': U l' U', m']","[d' l': U l' U', m']","[d' Rw: U' r U, m']","[3Rw: 3Uw' r' 3Uw, m]","[Dw': U l' U', m']","[Dw': U' r U, m']","[R2 Uw: m' U m, u']","[d'e': U' r' U, m']","[U d': m' U' m, d2]","[R' e': r U' r', e2]","[R ue': m, U l' U']","","","","","[U2, m d' m']","[U', m d' m']","[U, m d' m']",
"Rf","[3Uw': 3Uw' m 3Uw, r']","[l: l e' l', U]","[e, r' U' r]","[m, 3Uw' r' 3Uw]","[m2, 3Uw' r' 3Uw]","[3Uw': 3Uw' m2 3Uw, r']","[l': e', l' U l]","[r': e, r' U' r]","[m', 3Uw' r' 3Uw]","[e', l' U l]","[Rw: U, m' u' m]","[R Uw: m' U m, u']","[e: r' U' r, e2]","[L e: r' U' r, e2]","[R 3Uw': r, U m U']","[ue': m, U l' U']","","","","","[U: r e r', U2]","[U': U', r e r']","[r e r', U']",
"Ru","[U m: m u m', U]","[Uw: l, U m' U']","[Uw': r', U m U']","[3Rw': 3Uw' r' 3Uw, m']","[U m: u', m U' m']","[U m': u, m' U m]","[u' l: U l U', m]","[u' Rw': U' r' U, m]","[Rw': m', 3Uw' r' 3Uw]","[l': U', m' u' m]","[Uw': r, U m U']","[Uw: m' U m, u']","[eu': U l' U', m]","[R de: m', U l U']","[3Uw': r, U m U']","[R ue': m, U' r U]","","","","","[U2, m' u' m]","[U', m' u' m]","[U, m' u' m]",
"Ub","[U' Rw' U: U r U', m]","[U' Rw' F: U' m' U, l]","[Rw' U' 3Rw U: U r' U', m]","[U' Rw' U': U' r U, m]","[U2, m U2 m']","[m' u2 m, U2]","[D: m' u2 m, U2]","[D': m' u2 m, U2]","[U Rw' U': m', U' r U]","[3Rw' F Rw U': U' l' U, m']","[Rw U 3Rw' U': m', U' r U]","[U' Rw U: U r' U', m']","[U': r e' r', U2]","[m d m', U2]","[U': r' e r, U2]","[m' u m, U2]","[U': r' e' r, U2]","[m d' m', U2]","[U': r e r', U2]","[m' u' m, U2]","","","",
"Ul","[U2 3Rw': U r U', m']","[3Rw': U' m' U, l]","[U' mr': U m' U', r]","[U' Rw': U' r U, m]","[D l2 D', m2]","[m' u2 m, U']","[l2, D' m2 D]","[3Rw' U': m', U' r' U]","[U' Rw: U' r' U, m']","[3Rw: U' m U, l']","[U' rm': U m U', r']","[U2 3Rw: U r' U', m]","[U': r e' r', U']","[m d m', U']","[U': r' e r, U']","[m' u m, U']","[U': r' e' r, U']","[m d' m', U']","[U': r e r', U']","[m' u' m, U']","","","",
"Ur","[U' Rw': U r U', m]","[U 4Rw': U' m' U, l']","[m: U m' U', r']","[3Rw': U' r U, m']","[D' r2 D, m2]","[m' u2 m, U]","[3Lw U: m', U l U']","[r2, D m2 D']","[3Rw: U' r' U, m]","[U 4Rw: U' m U, l]","[m': U m U', r]","[U' Rw: U r' U', m']","[U', r e' r']","[m d m', U]","[U', r' e r]","[m' u m, U]","[U', r' e' r]","[m d' m', U]","[U', r e r']","[m' u' m, U]","","","",
