"","Ubr","Ufl","Ufr","Dfr","Dfl","Dbl","Dbr","Rub","Ruf","Rdf","Rdb","Luf","Lub","Ldb","Ldf","Fur","Ful","Fdl","Fdr","Bul","Bur","Bdr","Bdl",
"Luf","[r' u' r, U]","[U: U, r' u' r]","[U': r' u' r, U2]","[Rw: u', r U r']","[u': l2, U r U']","[Uw' F: l2, U' r U]","[D' Rw: u', r U r']","[u': r U r', u2]","[R u': r U r', u2]","[R2 u': r U r', u2]","[R' u': r U r', u2]","","","","","[u', r U r']","[F: u', r U r']","[F2: u', r U r']","[F': u', r U r']","[Uw: l U2 l', u']","[U2: r', Uw l Uw']","[Rw': r' u' r, U]","[u': l, U r U']",
"Lub","[U', l u' l']","[U, l u' l']","[r u r', U2]","[u' Rw: U r U', l']","[U l': u', l' U' l]","[D' Rw': u, r' U2 r]","[Rw': u, r' U2 r]","[R' u: r' U2 r, u2]","[u: r' U2 r, u2]","[R u: r' U2 r, u2]","[R2 u: r' U2 r, u2]","","","","","[U: r, Uw' l' Uw]","[U: u', l' U' l]","[z U': Uw r Uw', l']","[Rw: r u r', U2]","[3Rw' U2: l' U' l, u']","[u, r' U2 r]","[Rw': U', l u' l']","[3Rw' U: l' U' l, u']",
"Ldb","[r d' r', U]","[l d l', U']","[U': r d' r', U2]","[Rw': d', r' U r]","[3Uw: U' l2 U, r']","[U l': d, l' U2 l]","[3Uw': U' r2 U, l']","[R' 3Uw: U' l' U, r']","[3Uw: U' l' U, r']","[d': r' U r, d2]","[R d': r' U r, d2]","","","","","[Rw: r d' r', U]","[S: Uw r Uw', l']","[z: Uw r Uw', l']","[Rw U': r d' r', U2]","[L2 u': r U r', u']","[Rw' U': r d' r', U2]","[d', r' U r]","[S: Uw r Uw', l]",
"Ldf","[U: r' d r, U]","[U': r' d r, U']","[r' d r, U2]","[D Rw: d, r U2 r']","[Fw: U', l' u l]","[3Uw': l2, U' r U]","[Rw: d, r U2 r']","[3Uw: r, U' l U]","[R 3Uw: r, U' l U]","[R' d: r U2 r', d2]","[d: r U2 r', d2]","","","","","[L': u', r U r']","[z: r U2 r', u]","[z U: Uw r Uw', l']","[d, r U2 r']","[L' u': r U r', u']","[Rw': r' d r, U2]","[Rw' U: r' d r, U]","[3Uw: l U' l', d]",
"Fur","[M': U' l U, r']","[Uw: U, r' u' r]","[l' U': r, U' l U]","[D': l2, U r U']","[l2, U r U']","[D: l2, U r U']","[D2: l2, U r U']","[r U r', u]","[Rw: U, r' u r]","[R2: r U r', u]","[R': r U r', u]","[r U r', u']","[U: Uw' l' Uw, r]","[Rw: U, r d' r']","[L': r U r', u']","","","","","[r U r', u2]","[3Rw' U': r2, U' l' U]","[F': U r' U', l']","[l, U r U']",
"Ful","[Rw: U r' U', l']","[U 3Rw: U r' U', l]","[r u2 r', U2]","[Rw: U r U', l']","[D Rw: U r U', l']","[Uw': l2, Uw' r' Uw]","[D' Rw: U r U', l']","[Uw r Uw', l']","[Rw: Uw r Uw', l']","[R2: Uw r Uw', l']","[Rw': Uw r Uw', l']","[F: r U r', u']","[U: l' U' l, u']","[S: l', Uw r Uw']","[z: u, r U2 r']","","","","","[F: r U r', u2]","[u2, r' U2 r]","[U r' U', l']","[F: l, U r U']",
"Fdl","[U2 3Rw: U' r' U, l]","[U' Rw: U' r' U, l']","[Rw' U': U' r U, l']","[3Rw U: l, U r U']","[F2: l2, U r U']","[U' D' Rw: U' r U, l']","[U' Rw: U' r U, l']","[F: Uw r Uw', l']","[Uw': U' r' U, l']","[R Uw': U' r' U, l']","[F': r U2 r', d']","[F2: r U r', u']","[z U': l', Uw r Uw']","[z: l', Uw r Uw']","[z U: l', Uw r Uw']","","","","","[F' U': l, U' r U]","[U': U' r' U, l']","[d2, r' U r]","[F2: l, U r U']",
"Fdr","[U2 l': U l U', r]","[U' M': U l U', r']","[U' Lw U: r, U l' U']","[3Rw U': U' l U, r]","[F': l2, U r U']","[U': l2, U' r U]","[U' 3Rw: U l U', r]","[Uw': l, Uw' r Uw]","[Rw U: r' u r, U2]","[R': r U2 r', d']","[r U2 r', d']","[F': r U r', u']","[Rw: U2, r u r']","[Rw U: r d' r', U2]","[r U2 r', d]","","","","","[U': l, U' r U]","[U' 3Rw: U l U', r2]","[3Rw U': U' l U, r2]","[F': l, U r U']",
"Bul","[U2 3Rw': U' r U, l']","[U' Rw': U' r U, l]","[Rw' U': U' r U, l]","[3Rw' U: l', U r' U']","[D 3Rw' U: l', U r' U']","[D' U': U' r2 U, l]","[U': U' r2 U, l]","[u: u, r U r']","[U': Uw' r' Uw, l]","[R2 u: u, r U r']","[R' u: u, r U r']","[U: l U2 l', u]","[3Rw' U2: u', l' U' l]","[L2 u': u', r U r']","[L' u': u', r U r']","[u2, r U r']","[F: u2, r U r']","[F' U': U' r U, l]","[U': U' r U, l]","","","","",
"Bur","[U', l u2 l']","[U, l u2 l']","[U2, l u2 l']","[3Rw' U': U' l' U, r']","[U' D': l2, U' r' U]","[U': l2, U' r' U]","[D U': l2, U' r' U]","[3Rw': u, l' U2 l]","[r' U2 r, u']","[R: r' U2 r, u']","[Rw' U: r' u r, U2]","[U2: Uw l Uw', r']","[r' U2 r, u]","[Rw' U: r d' r', U2]","[Rw': U2, r' d r]","[3Rw' U': U' l' U, r2]","[r' U2 r, u2]","[U': l', U' r' U]","[U' 3Rw: r2, U l U']","","","","",
"Bdr","[M: U' l' U, r]","[U l: U' l' U, r']","[l' U': r', U' l U]","[D': l2, U r' U']","[l2, U r' U']","[D: l2, U r' U']","[D2: l2, U r' U']","[3Rw': u, l' U' l]","[u: l', U r' U']","[r' U r, d]","[Rw': U, r' u r]","[Rw': U, r' u' r]","[3Rw': u', l' U' l]","[r' U r, d']","[Rw' U: U, r' d r]","[F': l', U r' U']","[l', U r' U']","[r' U r, d2]","[3Rw U': r2, U' l U]","","","","",
"Bdl","[Rw': U r U', l]","[U 3Rw': U r U', l']","[Rw' F': U r U', l]","[Rw': U r' U', l]","[D Rw': U r' U', l]","[D2 Rw': U r' U', l]","[D' Rw': U r' U', l]","[Uw r Uw', l]","[Rw: Uw r Uw', l]","[R2: Uw r Uw', l]","[Rw': Uw r Uw', l]","[u': U r U', l]","[3Rw' U: u', l' U' l]","[S: l, Uw r Uw']","[Uw: l U' l', d']","[U r U', l]","[F: U r U', l]","[F2: U r U', l]","[F': U r U', l]","","","","",
