"","Ub","Ul","Ur","Df","Dr","Dl","Db","Rb","Ru","Rf","Rd","Lu","Lf","Lb","Ld","Fr","Fu","Fl","Fd","Bd","Bu","Br","Bl",
"Lu","[U2, m' u m]","[U', m' u m]","[U, m' u m]","[U m': u', m' U m]","[u Rw': U' r' U, m]","[u l: U l U', m]","[U m: u, m U' m']","[ue': U' r U, m]","[R ue': U' r U, m]","[3Uw: l', U' m U]","[R 3Uw: l', U' m U]","","","","","[Rw: U, m' u m]","[Uw': m' U' m, u]","[l': U', m' u m]","[Lw: m', 3Uw l 3Uw']","[U m: m u' m', U]","[3Lw: 3Uw' r 3Uw, m']","[Uw': r', U' m' U]","[Uw: l, U' m U]",
"Lf","[U: r' e r, U2]","[U': U', r' e r]","[r' e r, U']","[3Uw': 3Uw' m2 3Uw, r]","[r: e, r U' r']","[l: e', l U l']","[m2, 3Uw' r 3Uw]","[e: r U' r', e2]","[eu': m, U' r U]","[R eu': m, U' r U]","[R' e: r U' r', e2]","","","","","[e, r U' r']","[F: e, r U' r']","[Lw': U', m' u m]","[m', 3Uw l 3Uw']","[3Uw': 3Uw' m 3Uw, r]","[m, 3Uw' r 3Uw]","[Rw': r' e r, U']","[e', l U l']",
"Lb","[U: r e' r', U2]","[U': U', r e' r']","[r e' r', U']","[D r': e', r' U' r]","[r': e', r' U' r]","[l': e, l' U l]","[D' r': e', r' U' r]","[R d'e': m', U' r' U]","[eu': m, U l' U']","[e': r' U' r, e2]","[d'e': m', U' r' U]","","","","","[Rw: r e' r', U']","[F': e, l' U l]","[e, l' U l]","[eu': m', U l' U']","[U' 3Lw: m u' m', U']","[e': m, U' r' U]","[e', r' U' r]","[Lw: U', m' u m]",
"Ld","[U2, m d m']","[U', m d m']","[U, m d m']","[Dw Rw: U' r U, m']","[d Rw: U' r U, m']","[d l': U l' U', m']","[Dw l': U l' U', m']","[de: U l U', m']","[R de: U l U', m']","[L e': r' U' r, e2]","[U d: m' U' m, d2]","","","","","[Dw: U' r U, m']","[L2 Uw': m' U' m, u]","[Dw: U l' U', m']","[3Lw': 3Uw l 3Uw', m]","[U': d', m U' m']","[Lw': m, 3Uw' r 3Uw]","[Rw': U, m d m']","[Dw: U l U', m']",
"Fr","[Rw U 3Rw' U': U' r U, m']","[U' m': U m U', r]","[rm': U m U', r']","[U': U' m2 U, r]","[D: m2, U' r U]","[D': m2, U' r U]","[m2, U' r U]","[r U' r', e']","[u': m, U' r U]","[3Rw: u', m U m']","[Dw': m', U' r U]","[3Rw: u, m U m']","[r U' r', e]","[Rw: U', r e' r']","[Dw: m', U' r U]","","","","","[U': U' m U, r]","[m, U' r U]","[F: U' r' U, m']","[3Lw U': U' r U, m']",
"Fu","[U' Rw U: m', U r' U']","[U2 Rw: U r' U', m']","[U' 3Rw: U r' U', m]","[U' 3Rw: U r' U', m']","[U': r2, U' m' U]","[U: l2, U m' U']","[D' U': r2, U' m' U]","[R' U: m' U m, u]","[U: m' U m, u]","[R U: m' U m, u]","[R2 U: m' U m, u]","[U': m' U' m, u']","[F: r U' r', e]","[F': l' U l, e]","[L2 U': m' U' m, u']","","","","","[F U': U' m U, r]","[F: m, U' r U]","[U': r', U' m' U]","[U: l, U m' U']",
"Fl","[3Rw' F Rw U': m', U' l' U]","[4Rw: U' m U, l]","[U 3Rw: U' m U, l']","[U: U m2 U', l']","[D: m2, U l' U']","[D': m2, U l' U']","[m2, U l' U']","[F2: r U' r', e']","[l'm': u', m U' m']","[l' U l, e']","[Dw': m', U l' U']","[l'm': u, m U' m']","[3Lw': u, m U' m']","[l' U l, e]","[Dw: m', U l' U']","","","","","[U: U m U', l']","[m, U l' U']","[3Rw' U: U l' U', m']","[F': U l U', m']",
"Fd","[U Rw' U': U' r U, m']","[U' 3Rw: U' r' U, m]","[Rw: U' r' U, m']","[D Rw: U' r U, m']","[Rw: U' r U, m']","[l': U l' U', m']","[D' Rw: U' r U, m']","[ue': U' r U, m']","[Rw': 3Uw' r' 3Uw, m']","[3Uw' r' 3Uw, m']","[Rw: 3Uw' r' 3Uw, m']","[Lw: 3Uw l 3Uw', m']","[3Uw l 3Uw', m']","[eu': U l' U', m']","[Lw': 3Uw l 3Uw', m']","","","","","[F' U': U' m U, r]","[F': m, U' r U]","[U' r' U, m']","[U l U', m']",
"Bd","[U' Rw' U: m, U r U']","[U2 Rw': U r U', m]","[U' 3Rw': U r U', m']","[D U': r2, U' m U]","[U': r2, U' m U]","[U: l2, U m U']","[D' U': r2, U' m U]","[U 3Rw': U, m u m']","[U m: U, m u m']","[3Uw': r', 3Uw' m 3Uw]","[U: m U m', d]","[U m: U, m u' m']","[3Uw': r, 3Uw' m 3Uw]","[U' 3Lw: U', m u' m']","[U': m U' m', d']","[U': r, U' m U]","[F U': r, U' m U]","[U: l', U m U']","[F' U': r, U' m U]","","","","",
"Bu","[U' Rw' U': m, U' r U]","[U' 3Rw': U' r U, m']","[Rw': U' r U, m]","[D Rw': U' r' U, m]","[Rw': U' r' U, m]","[Lw: U l U', m]","[D' Rw': U' r' U, m]","[e': U' r U, m]","[Rw': 3Uw' r' 3Uw, m]","[3Uw' r' 3Uw, m]","[Rw: 3Uw' r' 3Uw, m]","[Lw: 3Uw' r 3Uw, m]","[3Uw' r 3Uw, m]","[e': U' r' U, m]","[Lw': 3Uw' r 3Uw, m]","[U' r U, m]","[F: U' r U, m]","[U l' U', m]","[F': U' r U, m]","","","","",
"Br","[Rw' U' 3Rw U: m, U r' U']","[U' m: U m' U', r']","[mr': U m' U', r]","[U': U' m2 U, r']","[D: m2, U' r' U]","[D': m2, U' r' U]","[m2, U' r' U]","[Rw': m' u' m, U]","[u': m, U' r' U]","[r' U' r, e]","[Dw': m', U' r' U]","[Uw': U' m' U, r']","[Rw': U', r' e r]","[r' U' r, e']","[3Rw': d, m' U m]","[F: m', U' r' U]","[U': U' m' U, r']","[3Rw' U: m', U l' U']","[m', U' r' U]","","","","",
"Bl","[U' Rw' F: l, U' m' U]","[4Rw': U' m' U, l']","[U 3Rw': U' m' U, l]","[U: U m2 U', l]","[D: m2, U l U']","[D': m2, U l U']","[m2, U l U']","[l U l', e]","[Uw: U m' U', l]","[l: U, l e' l']","[Dw': m', U l U']","[u: m, U l U']","[l U l', e']","[Lw: m' u m, U']","[Dw: m', U l U']","[3Lw U': m', U' r U]","[U: U m' U', l]","[F': m', U l U']","[m', U l U']","","","","",
